listing_id,id,date,reviewer_id,reviewer_name,Comments
26562018,302609094,,102017280,Laurenn,Great little home in the heart of Seattle. Just a quick 5 minute drive to the waterfront and easy to get around. Host Heather was quick to respond to any and all questions. Great experience for our first Airbnb stay!
13732104,113757316,,10214243,Lydia,Couldn't have asked for a better location.
20759864,221471222,,102252038,Beth,This apartment is cozy and clean and perfectly appointed from the colors of the towels and blankets to the coffee cups. There were fresh flowers in the bedroom. The sofa creates a very comfortable queen-size bed. The location is two blocks from a grocery store and three blocks from a diner. We had a lovely time and hope to return in the future.
46166273,768395410,,102280323,Mary,"The loft had over-the-top amenities, furnishings, bed comfort, BBQ / deck area with plenty of furniture for relaxing conversation. It was so convenient to the Seattle area."
50098962,5.21E+17,,102296282,Brittany,"Michelle was the best host and the Airbnb was perfect for our 2 month stay. Everything was clean, well taken care of and exactly as described. Location was perfect! We were able to walk to a beautiful lake and park and walk/Uber to many restaurants/bars. Michelle was so kind and generous, as well as responsive. Could not give this Airbnb enough stars!!"
12968264,78312666,,10233205,Ande,"Charlie's place is great! You can't beat the location, it's central and yet just feels like a quiet slice of life in a neighborhood on the water. The classic Seattle craftsman house is open and bright and newly remodeled (in fact, minor parts were still in progress) with a minimalist, modern feel. I made a very last minute reservation so Charlie was out of town but his dad Kevin made me feel welcome and checked in regularly and even brought by some chairs for the porch because it was nice out. Whether you're visiting Seattle or from Seattle, this is a great place for 1 or 2 people to kick their feet up and while away the evening watching the passing boats, bikers, joggers, and walkers."
49113826,3.91E+17,,102501807,Chris Eunsang,Unexpectedly the place was like new home since it got recently refreshed. Xiao was very reponsive and easy to communicate with. We really enjoyed this compy home and proximity to downtown Seattle. Thanks Xiao!
34976195,459741290,,10250827,Nikki,Great place in the center of Fremont. Easy to use door codes for each room. Everything is very clean and new. I would recommend for anyone staying in the north seattle area.
14049107,106707633,,10274827,Sandra,We loved our stay in this beautiful quiet space in a lovely neighborhood. Highly recommend this spot if looking for easy access to Univ of Wash or Seattle Children's. We would be happy to stay here again.
30237428,425712100,,102797398,Suzanne,"Victoria’s place was sparkling clean and new, like we were the very first guests to stay there! Comfy beds, tons of towels, a super good coffee maker, and a lovely firepit in the private yard. The neighborhood is fabulous for taking walks, and grocery stores are only 8 blocks away. Victoria was very responsive. We would definitely stay there again."
15337460,114615898,,102899713,Chris,"This was our first time using Airbnb, and the experience was amazing. Natasha was so welcoming, and the basement area we stayed in was better than we expected. She had all the essentials for us, and to top it off she had a pool table for entertainment. It definitely felt like our own home with the private entrance, also it's located in a great neighborhood. Definitely recommend staying here!"
37946126,556170927,,103278578,Jessi,"Cozy, clean house in a quiet, good location. Great value!"
33250388,434902130,,103452265,Karla,Lovely place only minutes away from downtown Seattle. Very cozy and clean. Definitely recommended! Also great hospitality!
2297917,10376642,,10347652,Laly,"We had a very nice time, the place was so comfortable that we barely left. Fantastic little spot for a nice little romantic getaway, highly recommended!"
15820436,115095706,,103550525,Josh,"Abe was able to arrange pickup from airport by his concierge.<br/>Both Abe and cedrick were in contact throughout the process"
9.47E+17,9.77E+17,,103608683,April,Love how quiet and relaxing the neighborhood was. Beautiful interior.
31040215,416522592,,103637337,Chelsea,"Staying with Alice truly felt like staying with friends who were ready to provide anything needed, from an ironing board to get ready for a wedding, to a gift certificate to the local bakery/coffee shop to give a direction for exploration. When my husband and I arrived, we were not expecting the warm, thorough welcome Alice provided with a full walk through of the apartment, amenities and an invitation to enjoy cinnamon rolls the next morning. The space itself was immaculately clean, spacious and yet cozy. Perfect for one or two guests. The view couldn’t be any better, with direct view of the water, and the Seattle skyline from the large bedroom windows. Great after a day of wedding festivities to know we had a warm, clean place nearby to rest."
20586623,190752778,,103749471,Steven,This place is definitely worth a stay in West Seattle. Nancy was a great host and provided everything I needed. Also be sure to follow her suggestions for places to eat and visit.
23943343,306583082,,103780699,Jayne,"If I moved to Seattle, I would want a house like Alyson's in that exact spot on Green Lake. The space was completely comfortable for our three families (11 total - 5 adults, 6 kids) to share. We loved being so close to Green Lake, where we did morning walks and swam in a lifeguarded area every day and then took a dip in the jacuzzi. The location is very close to bus stops into center city, great restaurants and shops so we did not need a car or miss having one. The kitchen is well equipped for cooking and three bathrooms were clutch. Alyson was a great host that she was easy to reach by text message if we needed her."
39907322,5.77E+17,,103852970,Emil,"Awesome Airbnb, very nice modern finished in a very cute house! Clean and a lot of light! One of the best Airbnbs I’ve been in! Def recommend!"
1820794,9741853,,10393765,Bernadette,"I stayed with Pam & Patrick for a month. It was an amazing experience.<br/><br/>First, their location is unbeatable. The cozy apartment is located in Queen Anne which is a very nice neighborhood. It's located at the top of the hill. So be prepared to walk or drive up and down steep hills. A Midwest girl like me found this to be challenging.<br/><br/>Anyway, I could not have chosen I better neighborhood. It's close to downtown, Belltown and Capitol Hill. It's close to many restaurants, entertainment (music venues, theaters, etc.) and grocery stores too. You are about a 5 minute drive to Pike Place market.<br/><br/>I worked in Bothell (far north suburbs) but getting to the I-5 was a breeze. It's close. And it's a gateway to all of rest Seattle's awesome neighborhoods. Queen Anne is about 10 -15 mins (drive) to the U District, Ballard and Fremont. <br/><br/>The apartment was fully equipped with everything you need in the kitchen - baking goods, wine glasses, dishes, etc. My friends and I had no problem making full course dinners and baking gourmet sweets. <br/><br/>The in-unit laundry and dryer was a plus, extra towels, walk-in closet, extensive movie collection and Internet are just a few amenities that go a long way. <br/><br/>Did I mention the view? You can see the space needle from your window. This is truly a superb view. But then again you're on a hill. You have a good view anywhere you go!<br/><br/>The hosts were so accommodating! They communicate well and are willing to help you when you need it. I had guests visit me from Chicago and they lent me an air bed and extra bedding. <br/><br/>All in all, don't snooze on this place. Good hosts, good location and an apartment/studio that feels like home. Good furniture, cozy feel. Great privacy. Enjoy Seattle with ease staying at this place. <br/><br/>"
25087100,266824924,,1040639,Sara,"Great space. Very clean and quiet in a cute neighborhood within driving distance to several nice neighborhoods. I felt safe, welcomed, and comfortable. I would definitely stay here again and recommend to friends."
12566321,115734736,,104125173,Paul,"Our stay at Red Door Flats was everything we could have hoped for in terms of comfort, security, and convenience. The space is beautifully furnished with everything you might need for a two night stay or a week. The kitchen was equipped with high end appliances combined with a clean and useable layout. The bed was super comfortable, and came with two quilts for those who run hot or cold. The bath fixtures are truly luxurious, with a big walk in shower, lots of vanity space and a separate water closet for privacy, all equipped with heated floors. The flat even includes a laundry space with washer and dryer. <br/><br/>Our hosts were warm and welcoming, and provided a lot of nice touches, like fresh baked muffins waiting for us when we arrived. The unit is very private, and it was left to us how much we interacted, but Carol and Ian were a great source of information about Seattle and surroundings, and were fun folks to visit with. The flat was a great private space to retire to, with high ceilings and lots of light.<br/><br/>We would not hesitate to recommend this property to anyone who wants to be close to downtown ( 10 minutes away ) but still wants to be in a great Seattle neighbourhood with its own collection of wonderful eating and drinking venues. West Seattle is one of Seattle's best kept secrets that maintains a small town feel on the edge of the big city. <br/><br/>We had a lovely stay which was far too short, but we know we'll be back on our next visit to Seattle. Many thanks to our wonderful hosts Carol and Ian.<br/><br/><br/><br/>"
44281181,704020563,,104177254,Jennifer,"This apartment was perfect for a long term stay while my husband and I sold our house and looked for a new house in Seattle! The kitchen is well equipped and the little balcony is a nice place to sit outside. It is an old house with hardwood floors so the unit upstairs can be a little noisy when people are walking around - but nothing out of the ordinary. Everything was very clean when we checked in and there were extra amenities like towels, shampoo, soap, etc."
12456183,117072207,,104531624,Omar,Emma's is the best words cant explain!
41299302,595116661,,104675548,Kiran,"We came to Seattle for the weekend to celebrate our girlfriends birthday. The house was BEYOND what we were expecting. It was immaculately clean, well furnished, stylish and very comfortable. We will DEFINITELY be staying here again and again!"
34841878,472499162,,104770393,Shivani,Good host
5.73E+17,6.4E+17,,104910334,Sarah,"This is a beautiful little upgraded apartment in a quiet neighborhood. The backyard is a great place to sit and enjoy the beautiful flowers and greenery. I love the private, covered parking spot as well as the laundry facilities. Alaina is a great host quick to respond to any questions or concerns. Close to the I-5, public transportation, and hospital. Would highly recommend staying here."
45712983,765010680,,105046669,Vikranth,"My girlfriend and I had a great stay here. The location is ideal for Seattle, close to the train station to get to/fro the airport, and walkable to most things you would want to do.The room was clean, comfortable, and Natalia was very responsive."
25113399,268058710,,105427737,Victoria,"Fantastic experience! This home is wonderful, artfully decorated, very very comfortable, conveniently located, has every single amenity one could need while staying away from your own home. <br/>The building is secure. The pool and spa were clean and empty when we had the opportunity to enjoy it. A restaurant on the steps was open at midnight when we got back from a concert. A big plus. We were very close to the light rail station and Pike Place market. No need for driving or taxis. <br/>There was nothing left for wanting in this home. Plenty of toiletries, towels, reading materials, electric outlets and access to laundry facilities if we had the need. We were always on the go, but Bill offered plenty of refreshments if we desired. The plush and comfortable king-sized bed was heavenly. I haven't slept so soundly in years. The bed alone is worth the stay.<br/>But the best quality are the hosts. Bill and Jimi are not only accommodating and kind they were eager to get to know us, so they could accurately recommend dining locations and fun things to do during our stay.<br/>This was our first time staying at an Airbnb and it was an amazing experience. We felt like we were very welcome and were treated like good friends."
15550339,121727734,,105759614,Harrison,Very nice place and surprisingly spacious.
26747050,296439414,,105762829,Roberta,"Excellent stay, everything was very organized and clean and Amy is a great host. I recommend it."
6.13E+17,7.32E+17,,10577068,Francis,Awesome apartment in a great location. View of the Space Needle from the balcony! Communication with Rick was swift and easy. I highly recommend.
16407622,123104323,,106043086,Leo,"great place, even greater guy. super easy process and location is great. very accommodating!"
52941353,4.93E+17,,106182107,Donald,"On a recent visit to the Seattle area circumstances caused us to stay with a series of five different hosts in the west Seattle area in a short period of time . Ali’s place was by far the best of the five.<br/>The site is exceptionally large and spacious. Everything worked well. The beds and furniture were exceptionally comfortable lived in feel. The location had close, accessible parking along with bus stops to take you downtown in minutes. This host was also very easy to work with. <br/>But the big thing is the spaciousness of the area. That extra space was just so relaxing."
20096729,192651540,,106319264,Woody,"Alice was super helpful, the place was perfect. We had a great night!"
6.2E+17,6.53E+17,,10662442,Maya,"This home is in a great location and was very cute and clean. There seemed to be some kinks to work out though - missing kitchen essentials and hosts who were unable to take care of some issues during our stay. Overall I would recommend as I’m sure it will improve as they receive more feedback from guests. Also, you can park on the street overnight despite how parking was described."
1732441,9433944,,10663274,Kate,"I was there with my wife, sister and dog, we all had a great time without any inconvenience and 200% satisfied with Marcell's hospitality. The house had everything that I needed and perfect location for trip in Seattle. Clean, comfortable, cozy and beautiful. I already miss that place. Furthermore, Marcell is very thoughtful and kind, he will do anything for your convenience. He is the best host who I have ever met through Airbnb,"
25002,37440,,106760,Anthony,"First, would I stay here again - YES. The room is a little funky because its a converted garage, but its not expensive either. The bed is most comfortable you will ever find, the bathroom is totally new and very well done, the back yard is lovely, and Amanda is very considerate host. Stay here."
17228224,469527206,,106792747,Gabriel,"Consider yourself to live inside a family, act as you're a part of it"
24888909,262988366,,106864699,Jared,Excellent place to stay. Central to the locations we were visiting and easy to get around. Great studio style apartment with easy check in. Would stay again.
42353206,613280559,,106884245,Newman,Great place to stay. Allen is very responsive and communicates quickly.
30916586,360218795,,10694931,Christopher,"This was a great place to stay for a great price. It was so close to everything: the Sound, the Seattle Center, Queen Anne, downtown, etc. The room and house were tastefully decorated and clean. Mahnaz was friendly, communicated everything clearly, responded promptly, and there were no issues with check in or check out. I would definitely recommend this place to others!"
26888506,295006500,,107083185,Diego,"Betsy's apartment was absolutely amazing, it had everything from great breakfast choices to a stylish and comfy living room. Bathroom had unique feel and the towels were super soft. Was also very close to downtown which was a major plus for me."
18250300,159806303,,107094648,Cristine,Tom's place was great! There was four of us and it worked perfectly. Had a great stay.
31476418,402826833,,107179775,Julie,"New, clean space. Nice, safe neighborhood. Entrance is steps but wide and solid. View to cute backyard garden. Close to Chittenden locks and garden. Would stay here again!"
13654492,92353141,,10733020,Chelsea,"I loved the Green Room. Comfortable, immaculately clean, great location. Ashley was the best host I've had yet. She made us feel so welcome, was very responsive and helpful and gave us tips for our stay in Seattle. Will definitely stay again!"
18058644,151421961,,10739623,Andrew,"Perfect! We stayed for an entire month, and we were so sad to leave because the house was that amazing. Best part was the location, 15 minutes or less to downtown Seattle, few minutes to the airport, and 15 minutes to the eastside. Perfect for long term guests, families, and groups. The house is newer, and spacious. It had all the amenities we needed to cook and feel at home. Michelle is really helpful and was always prompt with inquiry responses. I highly recommend!"
10675363,83039900,,107760,Matt,"Alan's Apartment has been great and we enjoyed staying there very much! We had a warm welcome and everything we could need was there! The garden is lovely and you are welcome to use it! There is a big supermarket in walking distance and some good restaurants as well. We liked ""Mr and Mrs Wok"" (Asian fusion).<br/>There is free parking right outside the house and a bus stop a couple blocks away that takes you to downtown Seattle. Overall a great place that I can highly recommend!"
41601121,600871856,,107772486,?,"Quite near metro station.Fast accessibly to the Airport.Nice decoration.Elaborate living instructions from check-in to check-out.Shortcoming may be too much noise in the morning due to wooden structure,and a little bit cold for bathing water.But to those who get used to,it's fine."
35339569,658730946,,107811460,Julia,Nice cute basement space with a fully functional kitchen and bedroom.. Pictures don't really reflect what the space looks like (different furniture and lighting) but that's okay. Close drive to Alki beach. Safe neighborhood as well. Good for 2 people needing a place to crash while they visit the area!
38356001,4.96E+17,,107965914,Jason,"New, beautiful house with great amenities. Quiet, relaxing and clean. Thank you for a great stay!"
44660894,4.37E+17,,108032970,Shawn,Dylan was truly above and beyond. This location is worth it. You won’t want to leave. Strongly recommend.
22867908,242916592,,108041042,Caesar,Ariana and her family provided a lovely place to stay for the weekend. Very close to public transportation (that's all we took) and groceries. Very quick in communicating and reacting when we needed help. The place itself is VERY clean and provided some cute unexpected amenities like breakfast and fresh fruit (please respect the NO SHOES rules! :) ).<br/>Thank you Ariana! :)
11335586,64661343,,10824454,Danielle,"Cozy, convenient and quiet. Despite being across the street from the local fire dept., this apartment was actually very quiet and serene. New deluxe furnishings & a comfy bed made for a nice getaway. Jessica was a great host, quick to respond and very helpful. <br/>The location was so centrally located that we didn't even need a car! We fell in love with Capitol Hill- will definitely be back."
17573676,156488616,,108302193,Christopher,"What a great home for our two-week stay in Seattle! Everything in the home is brand new, contemporary, and easy to use, requiring minimal effort. Access to the front door and garage were a piece of cake. I loved going for morning runs along Lake Union (and not needing a key). The rooms suited my family perfectly, with large beds, separate bathrooms, and a open common space. The kitchen was extremely well appointed. The roof deck has amazing fews of the city and the Olympic mountains that never get old. We were also a short walk to some great restaurants (you have to try Joule) and nightlife in Fremont."
27106446,306620084,,10833533,Andy,"A nice bright space for a basement apartment. A great neighborhood near Green Lake and the University-- an excellent jumping off spot that beat prior stays in downtown/ Capital Hill area. The unit itself is brand new and comfortable. We enjoyed our time there, and would recommend it to anyone."
27607985,352756004,,108461883,Garry,"Look no further for your Air BnB in Seattle. A newer, cleaner, best location can't be found. We would recommend you book well in advance as this unit likely won't be available on a short term request. A short five minute walk brings you to Madison, and that is also where the Seattle Arboretum and Japanese Gardens are. It's also on the main bus route to downtown Seattle!<br/>The location is also a very quiet residential area and the neighbors are very friendly if you run into any of them. <br/>By car or walking Washington Lake and public park areas are very close.<br/>A total array of amenities are available including; four burner electric stove and oven, microwave, dish washer, refrigerator, washer/dryer, three piece bathroom, KING size very comfortable bed, two flat screenTV's, remote cozy fireplace. The kitchen is complete with pots, pans, dishes, cutlery, and miscellaneous utensils.<br/>Tom is a super host and very quick to reply to any questions you might have. we stayed four nights and would definitely book this BnB again. <br/>Garry and Lynne Alberta, Canada"
17075365,139311529,,108587408,Aaron,"Great place and great hosts! Grace and Benson were so welcoming and accommodating to any needs! The place is in a perfect location...close to bus stops and a quick ride downtown and Capital hill. The place is amazing, beautifully decorated, cozy, and comfortable. I am a medical student and was doing a rotation at Harborview, which was only a 10 minute bus ride...very convenient! Parking was always available, also very convenient!"
23996840,269721933,,108619059,Trevor,"Whitney is a great host! Her loft is very clean, modern, cozy, and welcoming. definitely going to stay here again the next time I am in Seattle!"
31649637,406228299,,108689,Anne,"I had the pleasure and honor of being the first guest to stay in this absolutely pristine thoughtfully put together super clean studio space. Cara was so easy to communicate with, we didn’t end up meeting because of my schedule, though I always knew she right there and available to help with anything related to the stay. We were in touch through Airbnb messages throughout the stay. It felt more like a space I’d love to live in in another life. I didn’t use the kitchen, but it looks so lovely complete with induction burner, hood, refrigerator, dishwasher and so on. Grateful also for being able to park in the driveway during my visit. <br/>If you enjoy a beautifully designed luxurious space, wonderful bed with white sheets and covers and enjoy Capitol Hill this place is a treasure."
52369825,4.9E+17,,10876588,Qi,Fantastic! The apartment was super clean and everything is well organized! Feels like home! The hosts are awesome and extremely helpful!
49615916,756834442,,109255057,Ryan,"Very clean and spacious for 3 adults, decently close to downtown. Would recommend!"
39747458,572442669,,109474708,Barbara,h
44135289,736856288,,109499304,Jacqueline,"This space is gorgeous. It is an amazing area with a gorgeous view from the roof top. The neighborhood is a beautiful, quiet area and just a short drive to some amazing places. The hosts communication was amazing and I loved the welcome note left for me. I would highly recommend staying here. If I am in the area again and need a place to stay, I will absolutely return!"
53278095,5.9E+17,,109701263,Paula,"This Airbnb is SUCH a gem! New construction building in a great location in Capitol Hill with a ton of coffee shops, restaurants, shops, bars, grocery stores, and parks all within walking distance. The unit itself has fantastic views and is beautifully decorated and well stocked, including in-unit washer and dryer which was really nice for my week-long stay. The wifi is fast and it was super easy to work from home here (and the place was so cute, people on zoom kept asking me where I was :)) Don't think twice about booking Jane's place - you'll love staying here!!"
12704096,147267419,,10982339,Jasmine,"I felt very welcomed in this cozy home just a block from the bus stop to downtown- I caught a direct bus to Pike Place Market, no transfers needed! My private room had lovely touches like a remote controlled fireplace and big bay windows, and I could make myself a yummy organic breakfast with the complimentary goodies from the cupboards :) Host was very gracious in helping me to settle in and from there I was pretty much all set. I would be happy to stay again, thank you!"
44197192,659476341,,109921389,Erica,"I had a great time staying at Lori's place in Capitol Hill. The apartment was well furnished and very clean. Since I was the first to stay in the apartment it was missing a few simple things like cleaning supplies but Miles and Lori were very quick and responding and getting me the things I requested to make the place better. The location was perfect; close to grocery stores, restaurants, small markets, coffee shops, a park, close to an exit. I would highly recommend this place and would also suggest to reserve the parking spot if it's available! I didn't and wished that I had (city parking is hard at night)."
18266409,146401896,,109925425,Oscar,It was good
53024480,5.78E+17,,109949445,Michael Jed,"We stayed here for a month. The apartment is in a prime location in DT Seattle. Walking distance to everything and didn’t really need a car unless we went down south or Ballard. The apartment was definitely cozy but it was only my girlfriend and I and our frenchie dog, so it was perfect. They even provided some cleaning supplies, coffee, and detergent. We would definitely recommend this place and would stay again!"
4550535,155795320,,110318824,Renu,"Apartment is in a safe part of Seattle which is also close to public transit, UVillage, Whole Foods and restaurants. Melissa is a very professional and responsive host."
36237271,733535734,,110330963,Matt,It was a very nice place to stay! Will certainly visit again.
8.81E+17,9.14E+17,,110341178,Celina,"Beautiful home, and excellent host who made sure we were doing well. Everything was clean and spotless, and there were many utilities (air fryer!) Would highly recommend this airbnb."
21647807,210917959,,110345755,Rike,"It was nice to stay at Seyeds place. He was a great host and his house was very comfy, modern and clean. Unfortunatly we did not use the Hot Tub but maybe next time if we visit another time Seattle and Seyeds place. :D"
25982024,281451467,,110370062,Kristian,"Stunning suite with a brand new fit-out. Kateryna has thought of everything you could ever need in an accommodation from appliances and linen to a detailed guestbook and little treats for guests! Location is fantastic for small eateries and cafes and for getting to and from central Seattle. We chose to Uber in and out for very cheap fares. Great stay, highly recommend Kateryna's place!"
7278583,47079901,,11039556,Charla,"WOW! What a house. I asked myself when I walked in ""is this woman crazy to rent out such a beautiful home?"" We loved this house! It was absolutely perfect for our group of 7. The location could not have been any better for us. Close to downtown by car and walking distance to the ferry but also to the cool area of Alki Beach. There are great supermarkets close by, shops, cafe's ...you name it. You don't even have to go into downtown Seattle if you don't want to. We only went to the space needle, Pike market and Filson. Besides that we enjoyed the neighborhood. Now back to Sharon and her lovely house. It was super clean and organized with directions on how to use the tv's, recycling etc you name it. There is a large den upstairs that is perfect if you have kids. There is a large screen Tv with a DVD player and Sharon has left behind some great DVDs for the kids which we all know is beneficial when you have some time to waste. Besides being clean, amazing location etc the view from our bedroom in the morning was breathtaking. We were lucky and had sun for the most part so to wake up with the sun rising above downtown Seattle was incredible. We were actually sad to leave this place. My husband now wants to move from Italy to Seattle. Enough said. Thank You Sharon for sharing your wonderful house. We really appreciate it."
2026794,9904053,,11045480,John,"Sheryl was an awesome host! Extremely knowledgeable of the city and will accommodate any reasonable request you have. The house is a ""working progress"" but you get your own room with a big bed. If you're looking for an extravagant place then this house is not for you. Very good for budget travelers!"
27908343,400642485,,110458206,Ryan,Todd’s place is very neat and in an excellent location. You have the entire bottom floor to yourself plus access to the kitchen/living room and balcony/patio on the upper levels and rooftop. Todd was extremely responsive when communicating before our arrival and through our departure. He was also very helpful in recommending things to do/places to see while staying in Seattle. I would highly recommend staying at Todd’s any day!!
